metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,854.0000,295.8452,904.0000,1170.0000,647.2000,993.6000,10
cargo_toml_valid,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
cargo_toml_present,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
webserver_ok,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
followed_directions,rate,10,0.9000,0.3000,1.0000,1.0000,0.7000,1.0000,9
fd_steps_completed,count,10,5.6000,1.2000,6.0000,6.0000,4.8000,6.0000,10
tool_calls_total,count,10,13.9000,4.3692,13.0000,21.0000,11.3000,16.6000,10
write_calls,count,10,1.8000,0.4000,2.0000,2.0000,1.5000,2.0000,10
drift_empty_path,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_tier5c_retries,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
wall_time_s,count,10,203.7735,103.0289,226.6609,360.0445,141.9552,266.9969,10
